,INSTNM,CITY,ZIP,LATITUDE,LONGITUDE
295,Fielding Graduate University,Santa Barbara,93105-3538,34.42941,-119.717161
296,Five Branches University,Santa Cruz,95062,36.964348,-121.998245
297,Redondo Beach Beauty College,Redondo Beach,90278-3111,33.873098,-118.37213700000001
298,Foothill College,Los Altos Hills,94022,37.361655,-122.12796399999999
299,Franciscan School of Theology,Oceanside,92057,33.232416,-117.320066
300,Fredrick and Charles Beauty College,Eureka,95501,40.798885,-124.16498600000001
301,Fresno City College,Fresno,93741,36.768164,-119.79609599999999
302,Fresno Pacific University,Fresno,93702-4709,36.726831,-119.735199
303,Fuller Theological Seminary,Pasadena,91182,34.14778,-118.14026100000001
304,Fullerton College,Fullerton,92832-2095,33.875514,-117.918255
305,Gavilan College,Gilroy,95020,36.972627,-121.569842
306,Gemological Institute of America-Carlsbad,Carlsbad,92008,33.131313,-117.31876499999998
307,Glendale Community College,Glendale,91208-2894,34.16745,-118.22766599999999
308,Glendale Career College,Glendale,91203,34.149771,-118.254719
309,Golden Gate University-San Francisco,San Francisco,94105-2968,37.789374,-122.398969
310,Golden West College,Huntington Beach,92647-2710,33.732531,-118.002568
311,Graduate Theological Union,Berkeley,94709,37.87554,-122.261847
312,Grossmont College,El Cajon,92020-1799,32.815246,-117.006277
313,Salon Success Academy-Riverside,Riverside,92506,33.943149,-117.391024
314,Hartnell College,Salinas,93901,36.675090999999995,-121.666054
315,Harvey Mudd College,Claremont,91711,34.106515,-117.70983700000001
316,Hilltop Beauty School,Daly City,94014,37.705502,-122.461467
317,Holy Names University,Oakland,94619-1699,37.802276,-122.187804
318,Pacifica Graduate Institute,Carpinteria,93013,34.420881,-119.58041399999999
319,Humboldt State University,Arcata,95521-8299,40.877481,-124.07829299999999
320,Humphreys University-Stockton and Modesto Campuses,Stockton,95207-3896,38.011489000000005,-121.31691799999999
321,Imperial Valley College,Imperial,92251-0158,32.827209,-115.50356299999999
322,Institute for Business and Technology,Santa Clara,95051-1303,37.368642,-121.96954099999999
323,Interior Designers Institute,Newport Beach,92660,33.641393,-117.86572199999999
324,Toni & Guy Hairdressing Academy-Santa Monica,Santa Monica,90401,34.017276,-118.494755
325,Irvine Valley College,Irvine,92618-0301,33.675381,-117.77753899999999
326,Bellus Academy-El Cajon,El Cajon,92021,32.794072,-116.94627
327,John F. Kennedy University,Pleasant Hill,94523-4817,37.956616,-122.05476100000001
328,American Jewish University,Los Angeles,90077-1519,34.128153000000005,-118.47170600000001
329,Reedley College,Reedley,93654,36.605428,-119.458555
330,Life Pacific University,San Dimas,91773-3298,34.098704999999995,-117.829388
331,University of La Verne,La Verne,91750-4401,34.100854999999996,-117.77326200000002
332,Laguna College of Art and Design,Laguna Beach,92651,33.561448,-117.77256399999999
333,Lake Tahoe Community College,South Lake Tahoe,96150,38.926797,-119.972574
334,Lancaster Beauty School,Lancaster,93534,34.694914000000004,-118.147547
335,Laney College,Oakland,94607,37.797257,-122.26283000000001
336,Lassen Community College,Susanville,96130,40.432053,-120.633271
337,Life Chiropractic College West,Hayward,94545-2800,37.638099,-122.11761899999999
338,Lincoln University,Oakland,94612-2801,37.804788,-122.269745
339,Southern California Seminary,El Cajon,92019-1108,32.799614,-116.90546100000002
340,La Sierra University,Riverside,92505-8247,33.910703999999996,-117.500054
341,Loma Linda University,Loma Linda,92350,34.051241,-117.260605
342,Long Beach City College,Long Beach,90808-1706,33.833593,-118.13563300000001
343,Southern California University of Health Sciences,Whittier,90604,33.922965999999995,-117.983401
344,Los Angeles Harbor College,Wilmington,90744-2397,33.784201,-118.28186000000001
345,Los Angeles Pierce College,Woodland Hills,91371-0002,34.183949,-118.575071
346,Los Angeles Southwest College,Los Angeles,90047-4899,33.929586,-118.304674
347,Los Angeles Trade Technical College,Los Angeles,90015-4181,34.031907000000004,-118.269447
348,Los Angeles Valley College,Valley Glen,91401-4096,34.175165,-118.42173400000001
349,The Master's University and Seminary,Santa Clarita,91321-1200,34.381755,-118.518193
350,Los Angeles City College,Los Angeles,90029,34.087301000000004,-118.292169
351,Los Angeles County College of Nursing and Allied Health,Los Angeles,90033-1084,34.062647,-118.21185200000001
352,Los Angeles Mission College,Sylmar,91342-3200,34.314668,-118.4195
353,Los Medanos College,Pittsburg,94565,38.006474,-121.86096699999999
354,Loyola Marymount University,Los Angeles,90045-2659,33.97085,-118.41574399999999
355,Lu Ross Academy,Ventura,93001-2729,34.278034000000005,-119.293952
356,Lyle's College of Beauty,Bakersfield,93301,35.386539,-119.02387
357,Lyle's College of  Beauty,Fresno,93710,36.836265000000004,-119.77416699999999
358,Lytles Redwood Empire Beauty College Inc,Santa Rosa,95403,38.508385,-122.75777
359,MTI Business College Inc,Stockton,95207-4349,38.007884999999995,-121.30844499999999
360,MTI College,Sacramento,95841-9817,38.661377,-121.342568
361,College of Marin,Kentfield,94904-2590,37.954896999999995,-122.549149
362,Marymount California University,Rancho Palos Verdes,90275-6299,33.734887,-118.333371
363,Mendocino College,Ukiah,95482,39.188989,-123.22880900000001
364,Menlo College,Atherton,94027-4301,37.453475,-122.190797
365,Merced College,Merced,95348-2898,37.3353,-120.47646399999999
366,Merritt College,Oakland,94619-3196,37.789088,-122.16733500000001
367,Mills College,Oakland,94613,37.781425,-122.182294
368,MiraCosta College,Oceanside,92056-3899,33.190483,-117.30260600000001
369,Mission College,Santa Clara,95054-1897,37.391935,-121.980783
370,Modern Beauty Academy,Oxnard,93030,34.195384000000004,-119.181423
371,Modesto Junior College,Modesto,95350-5800,37.651056,-121.00979199999999
372,Moler Barber College,Oakland,94609-2419,37.827075,-122.26535200000001
373,Middlebury Institute of International Studies at Monterey,Monterey,93940,36.599736,-121.897325
374,Monterey Peninsula College,Monterey,93940-4799,36.590558,-121.88493100000001
375,Moorpark College,Moorpark,93021-1695,34.301146,-118.834528
376,Mt San Antonio College,Walnut,91789-1399,34.047764,-117.84662900000001
377,Mount Saint Mary's University,Los Angeles,90049-1599,34.085315,-118.482879
378,Mt San Jacinto Community College District,San Jacinto,92583-2399,33.806748,-116.97116899999999
379,Musicians Institute,Hollywood,90028,34.101265000000005,-118.33758200000001
380,Napa Valley College,Napa,94558-6236,38.274081,-122.274381
381,National Holistic Institute,Emeryville,94608-2008,37.841898,-122.287672
382,National University,La Jolla,92037-1011,32.909894,-117.243026
383,Naval Postgraduate School,Monterey,93943,36.597159000000005,-121.874248
384,Newschool of Architecture and Design,San Diego,92101,32.71331,-117.153305
385,Newberry School of Beauty,Granada Hills,91344-7401,34.256683,-118.499693
386,North Adrian's College of Beauty Inc,Modesto,95350-2381,37.677778,-120.99275300000001
